Area,Title,Description,KPI or Dashboard,Type,Time Series?,Indicator,Primary Source System,Mart / View,Update Frequency,Audience,FERPA Sensitive?,Calculation Logic,Known Caveats,owner,declared_consumers,freshness_sla,lifecycle_status
Admissions,Inquiry-to-Application Rate,% of inquiries that submit a complete application. Benchmark: 15–30%.,KPI,Strategic,No,N/A,Slate,mart_admissions_funnel,Term,"Admissions Director, VP Enrollment",No,"Numerator: distinct applicants with funnel_stage_canonical in (applied, complete, admitted, deposited, enrolled, denied, withdrawn_app); denominator: all applicants including inquiry stage. Rounded to 4 decimal places; COALESCE to 0 on zero denominator. Column: inquiry_to_app_rate.",COALESCE to 0 masks a zero-inquiry denominator; numerator counts denied and withdrawn_app applicants as having 'applied.',,,,draft
Admissions,Application-to-Admit Rate,"Overall selectivity. Tracks admit rate by program, demographic, and geographic cohort.",KPI,Strategic,No,N/A,Slate,mart_admissions_funnel,Term,"Admissions Director, VP Enrollment",No,"Numerator: distinct applicants in (admitted, deposited, enrolled); denominator: distinct applicants in (complete, admitted, deposited, enrolled, denied). Rounded to 4 decimals; COALESCE to 0. Column: admit_rate.",COALESCE to 0; denominator excludes inquiry and applied stages — only complete-or-further applications count toward the base.,,,,draft
Admissions,Admit-to-Yield Rate,% of admitted students who enroll. Key driver of net tuition revenue planning.,KPI,Strategic,No,N/A,Slate,mart_admissions_funnel,Term,"VP Enrollment, CFO",No,"Numerator: distinct applicants in (deposited, enrolled); denominator: distinct applicants in (admitted, deposited, enrolled). Rounded to 4 decimals; COALESCE to 0. Column: yield_rate.",COALESCE to 0; yield numerator includes deposited students who have not yet formally enrolled.,,,,draft
Admissions,Deposit Conversions,Deposits received vs. goal by term. Daily tracking critical in spring recruiting season.,KPI,Operational,No,N/A,Slate,mart_admissions_funnel,Daily (spring),Admissions Director,No,"Count of distinct applicants with funnel_stage_canonical in (deposited, enrolled) per program × entry term. Column: deposit_count.",Enrolled students are included in deposit_count in addition to pure depositors; no goal/budget denominator in mart — vs-goal comparison requires external input.,,,,draft
Admissions,Stealth Applicant %,% who applied with no prior inquiry. Indicates digital/brand reach vs. direct recruitment.,KPI,Strategic,No,N/A,Slate,mart_admissions_funnel,Term,VP Enrollment,No,"Numerator: distinct applicants with stealth_flag=true; denominator: distinct applicants in (applied, complete, admitted, deposited, enrolled, denied, withdrawn_app). COALESCE to 0. Column: stealth_app_pct.",COALESCE to 0; stealth_flag definition depends on upstream CRM inquiry-linkage logic in fact_application.,,,,draft
Admissions,Application Completion Rate,% of started applications that are fully submitted. Low rates flag UX or process issues.,KPI,Operational,No,N/A,Slate,mart_admissions_funnel,Weekly,Admissions Director,No,"app_complete_count (in complete, admitted, deposited, enrolled) divided by app_started_count (in applied, complete, admitted, deposited, enrolled, denied, withdrawn_app). No pre-computed rate column in mart; BI layer must divide app_complete_count / app_started_count.",Completion rate not pre-computed — BI layer must derive from app_complete_count and app_started_count.,,,,draft
Admissions,Avg Academic Profile (GPA / Test),"Mean/median GPA and test scores of admitted and enrolled cohorts, tracked year-over-year.",KPI,Strategic,No,N/A,Slate / Jenzabar:Workday:Banner,mart_admissions_class_profile,Term,"VP Enrollment, Provost",No,avg_hs_gpa: mean hs_gpa over enrolled applicants (enrolled_flag=true). avg_sat_total: mean sat_total where test_optional_flag=false. avg_act_composite: mean act_composite where test_optional_flag=false. All restricted to fact_application.enrolled_flag=true.,test_optional_flag is hardcoded false on dim_applicant (TODO noted in SQL) — all enrolled applicants are currently included in test score averages regardless of test-optional status.,,,,draft
Admissions,Geographic Diversity Index,"% of enrollees from out-of-state, international, or target feeder markets.",KPI,Strategic,No,N/A,Slate / Jenzabar:Workday:Banner,mart_admissions_class_profile,Term,VP Enrollment,No,"geographic_diversity_index = 1 − SUM[(tier_count / total_enrolled)²] across three geo tiers: in_state, out_of_state, international. Range 0 (all from one tier) to ~0.67 (even split). Higher = more diverse. Column: geographic_diversity_index.","in_state defined as state_code matching var('institution_state', 'MA') — hardcoded default; school-specific institution_state var must be set correctly at runtime.",,,,draft
Admissions,First-Gen Enrollment %,% of enrolled new students identifying as first-generation college students.,KPI,Compliance,No,N/A,Jenzabar:Workday:Banner,mart_admissions_class_profile,Term,"VP Enrollment, Financial Aid",Yes,Mean of (is_first_generation=true ? 1.0 : 0.0) over enrolled applicants joined to dim_student via person_id = student_id where is_current=true. COALESCE to 0. Column: first_gen_rate.,SCD2 join to dim_student uses is_current=true rather than a term census-date range join (deferred per SQL comment); null for applicants where person_id is null on dim_applicant.,,,,draft
Admissions,Underrepresented Minority %,Diversity composition of incoming class. Ties to Title III / institutional goals.,KPI,Compliance,No,N/A,Jenzabar:Workday:Banner,mart_admissions_class_profile,Term,"VP Enrollment, Provost",Yes,Mean of (is_urm=true ? 1.0 : 0.0) over enrolled applicants joined to dim_student via person_id = student_id where is_current=true. COALESCE to 0. Column: urm_rate.,Same SCD2 caveat as First-Gen Enrollment %: is_current=true join; census date range join deferred; null for applicants without person_id.,,,,draft
